color,card_number,series,rarity,type,jp_name,cn_name,cost,power,race,note,text_full,image_url,detail_url
蓝,B01-028,,R,Z/X,γ-Ｓ02アリオト,伽马-S02 艾利欧斯,4,6000,战斗服,,【自】 这张卡登场时，你可以选择你的手牌中的1张卡，放置到废弃区。放置了的话，选择通常方阵上的1张4费以下的Z/X，将其返回手牌。,http://zximg-cdn.yimieji.com/card/B01/B01-028.png,https://zxcard.yimieji.com/Cards/B01/B01-028/R
蓝,B01-029,,UC,Z/X,鋼城ユウロピウム,钢城 铕机侠,4,4500,金属要塞,,【常】 射程 2（这张卡可以攻击2格远的方阵。）,http://zximg-cdn.yimieji.com/card/B01/B01-029.png,https://zxcard.yimieji.com/Cards/B01/B01-029/UC
蓝,B01-030,,UC,Z/X,抹消機械デリート,抹消机械 删除式,4,6500,杀人机械,,-,http://zximg-cdn.yimieji.com/card/B01/B01-030.png,https://zxcard.yimieji.com/Cards/B01/B01-030/UC
蓝,B01-031,,R,Z/X,夕凪奏姫スメティナ,夕凪奏姬 斯美缇那,4,5000,人鱼,,【自】 这张卡登场时，你可以选择通常方阵上的1张Z/X，将其放置到与其原本所在的方阵相邻的方阵上。（你的Z/X不能放置到对手的玩家方阵上。对手的Z/X不能放置到你的玩家方阵上。）,http://zximg-cdn.yimieji.com/card/B01/B01-031.png,https://zxcard.yimieji.com/Cards/B01/B01-031/R
蓝,B01-032,,UC,Z/X,家電合体タンタル,家电合体 钽机侠,5,8000,金属要塞,,-,http://zximg-cdn.yimieji.com/card/B01/B01-032.png,https://zxcard.yimieji.com/Cards/B01/B01-032/UC
蓝,B01-033,,UC,Z/X,奏声ヴィーヴァル,奏声 维华尔,5,6500,人鱼,,【自】 这张卡登场时，你可以选择通常方阵上的1张Z/X，将其放置到与其原本所在的方阵相邻的方阵上。（你的Z/X不能放置到对手的玩家方阵上。对手的Z/X不能放置到你的玩家方阵上。）,http://zximg-cdn.yimieji.com/card/B01/B01-033.png,https://zxcard.yimieji.com/Cards/B01/B01-033/UC
蓝,B01-034,,SR,Z/X,ソードスナイパー リゲル,狙击之剑 莉洁尔,5,6000,战斗服/Reunion,,【常】 【玩家】 《安昙》 【有效】 方阵 【效果】 这张卡获得以下能力。“ 【常】 射程 ∞（这张卡可以攻击任意方阵。）” 【起】 【玩家】 《安昙》 【有效】 手牌 【费用】 将你的资源区中的2张 [Reunion] 休眠。 【效果】 将这张卡以重启状态登场到没有Z/X的通常方阵上。这个能力只能在你的回合中，方阵上存在你的 [超限助燃] 的场合才能使用。,http://zximg-cdn.yimieji.com/card/B01/B01-034.png,https://zxcard.yimieji.com/Cards/B01/B01-034/SR
蓝,B01-035,,UC,Z/X,τ-Ａ03アスピディスケ,套-A03 阿斯皮蒂丝珂,6,6000,战斗服,,【自】 这张卡登场时，选择通常方阵上的费用合计在6以下的任意张Z/X，将其返回手牌。,http://zximg-cdn.yimieji.com/card/B01/B01-035.png,https://zxcard.yimieji.com/Cards/B01/B01-035/UC
蓝,B01-036,,SR,Z/X,音速の城ダームスタチウム,音速之城 鐽机侠,7,9000,金属要塞,,【自】 这张卡通过战斗破坏对手的Z/X时，抽卡1张。,http://zximg-cdn.yimieji.com/card/B01/B01-036.png,https://zxcard.yimieji.com/Cards/B01/B01-036/SR
蓝,B01-037,,C,事件,科学の発展,科学的发展,1,-,-,,【★】 抽卡2张，选择你的手牌中的2张卡返回卡组，然后洗切卡组。,http://zximg-cdn.yimieji.com/card/B01/B01-037.png,https://zxcard.yimieji.com/Cards/B01/B01-037/C
蓝,B01-038,,C,事件,コメットシュート,彗星射击,1,-,-,,【★】 选择通常方阵上的1张对手的3费以下的Z/X，将其返回手牌。,http://zximg-cdn.yimieji.com/card/B01/B01-038.png,https://zxcard.yimieji.com/Cards/B01/B01-038/C
蓝,B01-039,,R,事件,飛翔空転射,飞翔空转射,2,-,-,,【★】 选择通常方阵上的1张对手的4费以下的Z/X，将其返回手牌。,http://zximg-cdn.yimieji.com/card/B01/B01-039.png,https://zxcard.yimieji.com/Cards/B01/B01-039/R
蓝,B01-040,,UC,,帰還の奏曲,归还的奏曲,3,-,-,,【★】 选择通常方阵上的1张对手的Z/X，将其返回手牌。,http://zximg-cdn.yimieji.com/card/B01/B01-040.png,https://zxcard.yimieji.com/Cards/B01/B01-040/UC
白,B01-041,,C,,ロウブリンガー ダストギール,秩序使者 达斯托吉,2,3500,守护者,,【特】 虚空使者 （这张卡由于给予玩家的伤害从生命区登场之际，你的生命在对手的生命以下的话，你可以选择方阵上的1张Z/X，放置到废弃区。）,http://zximg-cdn.yimieji.com/card/B01/B01-041.png,https://zxcard.yimieji.com/Cards/B01/B01-041/C
白,B01-042,,R,Z/X,運命革命の一翼・早乙女リリエル,命运革命的一翼·早乙女莉莉艾尔,3,4500,天使,,【常】 起始卡 （你可以将这张卡放置在玩家方阵上后再开始游戏。） 【起】 < 《白2》 将充能区中的这张卡放置到废弃区。>选择通常方阵上的1张对手的Z/X，直到回合结束时为止，力量-4000。,http://zximg-cdn.yimieji.com/card/B01/B01-042.png,https://zxcard.yimieji.com/Cards/B01/B01-042/R
白,B01-043,,C,,聖獣オーラペガサス,圣兽 灵气天马,3,5000,圣兽,,【特】 生命恢复 （这张卡由于给予玩家的伤害从生命区登场之际，你的生命在对手的生命以下的话，回复1点生命。）,http://zximg-cdn.yimieji.com/card/B01/B01-043.png,https://zxcard.yimieji.com/Cards/B01/B01-043/C
白,B01-044,,C,Z/X,壺売りのシャム,卖壶的暹罗猫,3,5000,猫妖精,,【常】 起始卡 （你可以将这张卡放置在玩家方阵上后再开始游戏。）,http://zximg-cdn.yimieji.com/card/B01/B01-044.png,https://zxcard.yimieji.com/Cards/B01/B01-044/C
白,B01-045,,R,,持ち逃げするメインクーン,携物逃跑的缅因猫,3,5000,猫妖精,,-,http://zximg-cdn.yimieji.com/card/B01/B01-045.png,https://zxcard.yimieji.com/Cards/B01/B01-045/R
白,B01-046,,R,,ロウブリンガー ダウラギリ,秩序使者 道拉吉里,3,5000,守护者,,-,http://zximg-cdn.yimieji.com/card/B01/B01-046.png,https://zxcard.yimieji.com/Cards/B01/B01-046/R
白,B01-047,,R,Z/X,絆のリアン,绊索的莉恩,4,5500,天使,,【自】 这张卡登场时，方阵上存在你的 「携物逃跑的缅因猫」 的话，选择通常方阵上的1张对手的Z/X，直到回合结束时为止，力量-5000。,http://zximg-cdn.yimieji.com/card/B01/B01-047.png,https://zxcard.yimieji.com/Cards/B01/B01-047/R
白,B01-048,,UC,Z/X,聖獣オーラフェニックス,圣兽 灵气不死鸟,4,5500,圣兽,,【自】 这张卡被破坏时，直到回合结束时为止，方阵上的你全部的Z/X的力量+2000。,http://zximg-cdn.yimieji.com/card/B01/B01-048.png,https://zxcard.yimieji.com/Cards/B01/B01-048/UC
白,B01-049,,UC,Z/X,陽気なバーミーズ,快活的缅甸猫,4,5500,猫妖精,,【自】 这张卡登场时，选择资源区中的1张卡，将其休眠。,http://zximg-cdn.yimieji.com/card/B01/B01-049.png,https://zxcard.yimieji.com/Cards/B01/B01-049/UC
白,B01-050,,UC,Z/X,ロウブリンガー シシャパンマ,秩序使者 希夏邦马,4,6000,守护者,,【自】 这张卡被攻击的战斗结束时，攻击这张卡的Z/X位于通常方阵上的话，将那张Z/X破坏。（这张卡没有存活的话，这个能力不能发挥作用。）,http://zximg-cdn.yimieji.com/card/B01/B01-050.png,https://zxcard.yimieji.com/Cards/B01/B01-050/UC
白,B01-051,,UC,Z/X,賢さのサジェス,贤明的萨洁丝,5,6000,天使,,【常】 射程 2（这张卡可以攻击2格远的方阵。）,http://zximg-cdn.yimieji.com/card/B01/B01-051.png,https://zxcard.yimieji.com/Cards/B01/B01-051/UC
白,B01-052,,C,Z/X,聖獣オーラビャッコ,圣兽 灵气白虎,5,8000,圣兽,,-,http://zximg-cdn.yimieji.com/card/B01/B01-052.png,https://zxcard.yimieji.com/Cards/B01/B01-052/C
白,B01-053,,SR,Z/X,ロウブリンガー バトゥーラ,秩序使者 巴托拉,5,7500,守护者,,【自】 这张卡被攻击的战斗结束时，攻击这张卡的Z/X位于通常方阵上的话，将那张Z/X破坏。（这张卡没有存活的话，这个能力不能发挥作用。）,http://zximg-cdn.yimieji.com/card/B01/B01-053.png,https://zxcard.yimieji.com/Cards/B01/B01-053/SR
白,B01-054,,UC,Z/X,憧れのアドミラシオン,憧憬的爱德蜜拉西昂,6,7500,天使,,【自】 这张卡登场时，选择通常方阵上的1张对手的Z/X，直到回合结束时为止，力量-4000。,http://zximg-cdn.yimieji.com/card/B01/B01-054.png,https://zxcard.yimieji.com/Cards/B01/B01-054/UC
白,B01-055,,R,Z/X,ロウブリンガー ウシュバ,秩序使者 阿莎巴,6,9500,守护者,,-,http://zximg-cdn.yimieji.com/card/B01/B01-055.png,https://zxcard.yimieji.com/Cards/B01/B01-055/R
白,B01-056,,SR,Z/X,誇りのフィエリテ,骄傲的菲爱缇,7,10500,天使,,【自】 【玩家】 「飞鸟」 【有效】 方阵 【诱发条件】 这张卡攻击的战斗结束时。 【效果】 选择通常方阵上的1张对手的Z/X，直到回合结束时为止，力量-11000。你可以将这张卡放置到没有Z/X的你的玩家方阵上。,http://zximg-cdn.yimieji.com/card/B01/B01-056.png,https://zxcard.yimieji.com/Cards/B01/B01-056/SR
白,B01-057,,C,事件,尊大なる光壁,高傲的光壁,1,-,-,,【★】 选择自军区域的方阵上的1张正在被攻击的Z/X，直到回合结束时为止，力量+3500。,http://zximg-cdn.yimieji.com/card/B01/B01-057.png,https://zxcard.yimieji.com/Cards/B01/B01-057/C
白,B01-058,,UC,事件,天使の光撃,天使的光击,1,-,-,,【★】 选择1张正在攻击你或正在攻击玩家方阵上的卡的3费以下的Z/X，将其破坏。,http://zximg-cdn.yimieji.com/card/B01/B01-058.png,https://zxcard.yimieji.com/Cards/B01/B01-058/UC
白,B01-059,,C,事件,リベンジフォース,复仇之力,1,-,-,,【★】 选择通常方阵上的1张Z/X，直到回合结束时为止，力量-2500。,http://zximg-cdn.yimieji.com/card/B01/B01-059.png,https://zxcard.yimieji.com/Cards/B01/B01-059/C
白,B01-060,,R,事件,絢爛聖光気,绚烂圣光气,2,-,-,,【★】 选择通常方阵上的1张Z/X，直到回合结束时为止，力量-4000。,http://zximg-cdn.yimieji.com/card/B01/B01-060.png,https://zxcard.yimieji.com/Cards/B01/B01-060/R
黑,B01-061,,C,Z/X,蠱惑の魔人ラスキウス,蛊惑的魔人 拉斯绮乌丝,2,2500,魔人,,【自】 这张卡通过战斗破坏对手的Z/X时，将你的卡组最上方的1张卡放置到充能区。,http://zximg-cdn.yimieji.com/card/B01/B01-061.png,https://zxcard.yimieji.com/Cards/B01/B01-061/C
黑,B01-062,,C,,漂うヘッドクラッシャー,漂浮碎颅者,2,3500,拷问刑具,,【特】 虚空使者 （这张卡由于给予玩家的伤害从生命区登场之际，你的生命在对手的生命以下的话，你可以选择方阵上的1张Z/X，放置到废弃区。）,http://zximg-cdn.yimieji.com/card/B01/B01-062.png,https://zxcard.yimieji.com/Cards/B01/B01-062/C
黑,B01-063,,R,Z/X,骨牙犬ボーンキーパー,骨牙犬 骸骨守卫,3,4500,不死者,,【常】 起始卡 （你可以将这张卡放置在玩家方阵上后再开始游戏。） 【起】 < 《黑2》 将充能区中的这张卡放置到废弃区。>选择通常方阵上的1张对手的费用3以下的Z/X，将其破坏。,http://zximg-cdn.yimieji.com/card/B01/B01-063.png,https://zxcard.yimieji.com/Cards/B01/B01-063/R
黑,B01-064,,C,Z/X,死の鎖ケッテ,死之锁 凯特,3,5000,捕食者,,【常】 起始卡 （你可以将这张卡放置在玩家方阵上后再开始游戏。）,http://zximg-cdn.yimieji.com/card/B01/B01-064.png,https://zxcard.yimieji.com/Cards/B01/B01-064/C
黑,B01-065,,R,,嘆きの魔人マエロル,叹息的魔人 玛耶罗尔,3,4500,魔人,,【自】 这张卡登场时，你可以选择你的手牌中的1张卡，将其放置到充能区。,http://zximg-cdn.yimieji.com/card/B01/B01-065.png,https://zxcard.yimieji.com/Cards/B01/B01-065/R
黑,B01-066,,R,,不幸の魔人ミセリア,不幸的魔人 米歇利亚,3,5000,魔人,,-,http://zximg-cdn.yimieji.com/card/B01/B01-066.png,https://zxcard.yimieji.com/Cards/B01/B01-066/R
黑,B01-067,,C,,名馬メリーゴーランド,名马 旋转木马,3,5000,拷问刑具,,【特】 生命恢复 （这张卡由于给予玩家的伤害从生命区登场之际，你的生命在对手的生命以下的话，回复1点生命。）,http://zximg-cdn.yimieji.com/card/B01/B01-067.png,https://zxcard.yimieji.com/Cards/B01/B01-067/C
黑,B01-068,,UC,Z/X,強振するスティングビート,全力振臂的痛击者,4,6500,不死者,,-,http://zximg-cdn.yimieji.com/card/B01/B01-068.png,https://zxcard.yimieji.com/Cards/B01/B01-068/UC
黑,B01-069,,R,Z/X,ハグハグするアイアンメイデン,抱拥的铁处女,4,5500,拷问刑具,,【自】 这张卡登场时，方阵上存在你的 「不幸的魔人 米歇利亚」 的话，选择通常方阵上的1张对手的3费以下的Z/X，将其破坏。,http://zximg-cdn.yimieji.com/card/B01/B01-069.png,https://zxcard.yimieji.com/Cards/B01/B01-069/R
黑,B01-070,,SR,Z/X,四足の勝利者ズィーガー,四足的胜利者 罪伽,4,6000,捕食者,,【起】 <将充能区中的3张卡放置到废弃区。>你的玩家卡是 「上柚木绫濑」 的场合，将这张卡重启。,http://zximg-cdn.yimieji.com/card/B01/B01-070.png,https://zxcard.yimieji.com/Cards/B01/B01-070/SR
黑,B01-071,,UC,Z/X,決殺の矢プファイル,决杀之矢 普菲尔,5,6000,捕食者,,【自】 这张卡通过战斗破坏对手的Z/X时，选择通常方阵上的1张对手的3费以下的Z/X，将其破坏。,http://zximg-cdn.yimieji.com/card/B01/B01-071.png,https://zxcard.yimieji.com/Cards/B01/B01-071/UC
黑,B01-072,,SR,Z/X,憎しみの魔人オディウム,憎恶的魔人 欧迪姆,5,7000,魔人,,【自】 你或对手的生命减少时，选择通常方阵上的1张3费以下的Z/X，将其破坏。,http://zximg-cdn.yimieji.com/card/B01/B01-072.png,https://zxcard.yimieji.com/Cards/B01/B01-072/SR
黑,B01-073,,UC,Z/X,骨鮫スケルタルシャーク,骨鲛 骷髅鲨,5,8000,不死者,,-,http://zximg-cdn.yimieji.com/card/B01/B01-073.png,https://zxcard.yimieji.com/Cards/B01/B01-073/UC
黑,B01-074,,R,Z/X,接合虚人ヒュージコープス,接合虚人 巨尸,6,9500,不死者,,-,http://zximg-cdn.yimieji.com/card/B01/B01-074.png,https://zxcard.yimieji.com/Cards/B01/B01-074/R
黑,B01-075,,UC,Z/X,絶望の魔人デスペラティオ,绝望的魔人 迪斯培拉提奥,6,6500,魔人,,【自】 这张卡登场时，选择通常方阵上的1张对手的4费以下的Z/X，将其破坏。,http://zximg-cdn.yimieji.com/card/B01/B01-075.png,https://zxcard.yimieji.com/Cards/B01/B01-075/UC
黑,B01-076,,UC,Z/X,冥司教スケルタルビショップ,冥司教 骷髅主教,7,8000,不死者,,【自】 这张卡登场时，选择你的废弃区中的1张5费以下的Z/X，将其返回手牌。,http://zximg-cdn.yimieji.com/card/B01/B01-076.png,https://zxcard.yimieji.com/Cards/B01/B01-076/UC
黑,B01-077,,C,事件,昏き月,昏暗之月,1,-,-,,【★】 选择通常方阵上的1张2费以下的Z/X，将其破坏。,http://zximg-cdn.yimieji.com/card/B01/B01-077.png,https://zxcard.yimieji.com/Cards/B01/B01-077/C
黑,B01-078,,C,事件,カーズディフュージョン,诅咒扩散,2,-,-,,【★】 选择通常方阵上的1张3费以下的Z/X，将其破坏。,http://zximg-cdn.yimieji.com/card/B01/B01-078.png,https://zxcard.yimieji.com/Cards/B01/B01-078/C
黑,B01-079,,UC,事件,魔人の目覚め,魔人的觉醒,2,-,-,,【★】 选择你的废弃区中的1张Z/X，将其返回手牌。,http://zximg-cdn.yimieji.com/card/B01/B01-079.png,https://zxcard.yimieji.com/Cards/B01/B01-079/UC
黑,B01-080,,R,,月影葬送牙,月影葬送牙,4,-,-,,【★】 你的资源区中存在 黑色 卡的场合，选择通常方阵上的1张Z/X，将其破坏。,http://zximg-cdn.yimieji.com/card/B01/B01-080.png,https://zxcard.yimieji.com/Cards/B01/B01-080/R
绿,B01-081,,C,,桜花蝶フルブロッサム,樱花蝶 满开花,2,3500,花虫,,【特】 虚空使者 （这张卡由于给予玩家的伤害从生命区登场之际，你的生命在对手的生命以下的话，你可以选择方阵上的1张Z/X，放置到废弃区。）,http://zximg-cdn.yimieji.com/card/B01/B01-081.png,https://zxcard.yimieji.com/Cards/B01/B01-081/C
绿,B01-082,,R,Z/X,獣人ウェアベア,兽人 熊人,3,4500,兽化人,,【常】 起始卡 （你可以将这张卡放置在玩家方阵上后再开始游戏。） 【起】 < 《绿4》 将充能区中的这张卡放置到废弃区。>选择通常方阵上的1张对手的Z/X，以休眠状态放置到资源区。,http://zximg-cdn.yimieji.com/card/B01/B01-082.png,https://zxcard.yimieji.com/Cards/B01/B01-082/R
绿,B01-083,,C,Z/X,世話好きのフラックス,热心的亚麻,3,5000,叶人,,【常】 起始卡 （你可以将这张卡放置在玩家方阵上后再开始游戏。）,http://zximg-cdn.yimieji.com/card/B01/B01-083.png,https://zxcard.yimieji.com/Cards/B01/B01-083/C
绿,B01-084,,R,,薔薇兜ワイルドローズ,蔷薇独角仙 野玫瑰,3,4500,花虫,,【常】 你的资源区中的卡有9张以上的话，这张卡的力量+1000。,http://zximg-cdn.yimieji.com/card/B01/B01-084.png,https://zxcard.yimieji.com/Cards/B01/B01-084/R
绿,B01-085,,R,,奔放な鎖鎌 鳳仙花,奔放的锁镰 凤仙花,3,4500,蓬莱,,【常】 方阵上存在你的 「百兽王 狮人」 的场合，这个单位的力量+2000。,http://zximg-cdn.yimieji.com/card/B01/B01-085.png,https://zxcard.yimieji.com/Cards/B01/B01-085/R
绿,B01-086,,C,,未来の達人 蒲公英,未来的达人 蒲公英,3,5000,蓬莱,,【特】 生命恢复 （这张卡由于给予玩家的伤害从生命区登场之际，你的生命在对手的生命以下的话，回复1点生命。）,http://zximg-cdn.yimieji.com/card/B01/B01-086.png,https://zxcard.yimieji.com/Cards/B01/B01-086/C
绿,B01-087,,UC,Z/X,獣人ウェアコアラ,兽人 考拉人,4,6000,兽化人,,【自】 这张卡登场时，选择方阵上的1张Z/X，直到回合结束时为止，力量+1000。,http://zximg-cdn.yimieji.com/card/B01/B01-087.png,https://zxcard.yimieji.com/Cards/B01/B01-087/UC
绿,B01-088,,UC,Z/X,のんびり屋のルリジッサ,悠闲的瑠璃苣,4,5000,叶人,,【常】 这张卡被破坏时，不放置到充能区、作为代替以休眠状态放置到资源区。,http://zximg-cdn.yimieji.com/card/B01/B01-088.png,https://zxcard.yimieji.com/Cards/B01/B01-088/UC
绿,B01-089,,R,Z/X,百獣王ウェアライオン,百兽王 狮人,4,6500,兽化人,,-,http://zximg-cdn.yimieji.com/card/B01/B01-089.png,https://zxcard.yimieji.com/Cards/B01/B01-089/R
绿,B01-090,,UC,Z/X,きれい好きのレモンバーム,爱干净的蜜蜂花,5,6500,叶人,,【常】 这张卡被破坏的场合，不放置到充能区、作为代替以休眠状态放置到资源区。,http://zximg-cdn.yimieji.com/card/B01/B01-090.png,https://zxcard.yimieji.com/Cards/B01/B01-090/UC
