card_id,card_number,name,rarity,type,race,cost,power,life,illustrator,text,image_url,detail_url
,E53-032 R+,キラースタイル レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-032.png,https://zxcard.yimieji.com/Cards/E53/E53-032/R%2B
,E53-033 R+,ラブレス家雑役女中 ファビオラ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-033.png,https://zxcard.yimieji.com/Cards/E53/E53-033/R%2B
,E53-034 R+,封印した過去 ロベルタ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-034.png,https://zxcard.yimieji.com/Cards/E53/E53-034/R%2B
,E53-035 R+,変わんねえ暮らし レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-035.png,https://zxcard.yimieji.com/Cards/E53/E53-035/R%2B
,E53-036 R+,“遊撃隊”,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-036.png,https://zxcard.yimieji.com/Cards/E53/E53-036/R%2B
,E53-037 SR,沈着冷静 レヴィ＆ダッチ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-037.png,https://zxcard.yimieji.com/Cards/E53/E53-037/SR
,E53-038 SR,SWORD CUTLASS レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-038.png,https://zxcard.yimieji.com/Cards/E53/E53-038/SR
,E53-039 SR,運び屋 黑礁商会,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-039.png,https://zxcard.yimieji.com/Cards/E53/E53-039/SR
,E53-040 SR,湾岸都市の海賊 レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-040.png,https://zxcard.yimieji.com/Cards/E53/E53-040/SR
,E53-041 SR,本当に、最悪な所！ ファビオラ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-041.png,https://zxcard.yimieji.com/Cards/E53/E53-041/SR
,E53-042 SR,奇縁の同居人 シェンホア＆ソーヤー,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-042.png,https://zxcard.yimieji.com/Cards/E53/E53-042/SR
,E53-043 SR,ホテル・モスクワ “大尉”バラライカ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-043.png,https://zxcard.yimieji.com/Cards/E53/E53-043/SR
,E53-044 SR,とびきりの狂犬 ロベルタ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-044.png,https://zxcard.yimieji.com/Cards/E53/E53-044/SR
,E53-045 SR,セクシー＆バイオレンス,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-045.png,https://zxcard.yimieji.com/Cards/E53/E53-045/SR
,E53-046 SR,Touch and Go レヴィ＆ロベルタ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-046.png,https://zxcard.yimieji.com/Cards/E53/E53-046/SR
,E53-047 SR,“悪徳の街”の凶弾 レヴィ＆エダ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-047.png,https://zxcard.yimieji.com/Cards/E53/E53-047/SR
,E53-048 SR,「暴力教会」のシスター エダ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-048.png,https://zxcard.yimieji.com/Cards/E53/E53-048/SR
,E53-049 SR,チャウシェスクの落とし子 ヘンゼル,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-049.png,https://zxcard.yimieji.com/Cards/E53/E53-049/SR
,E53-050 SR,チャウシェスクの落とし子 グレーテル,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-050.png,https://zxcard.yimieji.com/Cards/E53/E53-050/SR
,E53-051 SR,スモーキーラフ バラライカ＆レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-051.png,https://zxcard.yimieji.com/Cards/E53/E53-051/SR
,E53-052 SSR,無法者 レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-052.png,https://zxcard.yimieji.com/Cards/E53/E53-052/SSR
,E53-053 SSR,黑礁商会,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-053.png,https://zxcard.yimieji.com/Cards/E53/E53-053/SSR
,E53-054 SSR,支え合う二人 ロベルタ＆ガルシア,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-054.png,https://zxcard.yimieji.com/Cards/E53/E53-054/SSR
,E53-055 SSR,“悪徳の街”,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-055.png,https://zxcard.yimieji.com/Cards/E53/E53-055/SSR
,E53-056 SSR,真夜中の世界,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-056.png,https://zxcard.yimieji.com/Cards/E53/E53-056/SSR
,E53-057 SSR,ARE YOU “READY”？,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-057.png,https://zxcard.yimieji.com/Cards/E53/E53-057/SSR
,E53-058 SSR,Heaven's Shot,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-058.png,https://zxcard.yimieji.com/Cards/E53/E53-058/SSR
,E53-059 SSR,御法に触れる運送屋,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-059.png,https://zxcard.yimieji.com/Cards/E53/E53-059/SSR
,E53-060 SSR,“ならず者たち”,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-060.png,https://zxcard.yimieji.com/Cards/E53/E53-060/SSR
,E53-001 N,紳士の時間は終了 レヴィ＆ロック,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-001.png,https://zxcard.yimieji.com/Cards/E53/E53-001/N
,E53-002 N,銃と弾丸 レヴィ＆ロック,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-002.png,https://zxcard.yimieji.com/Cards/E53/E53-002/N
,E53-003 N,ラグーン号の銃使い レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-003.png,https://zxcard.yimieji.com/Cards/E53/E53-003/N
,E53-004 N,短気な銃使い レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-004.png,https://zxcard.yimieji.com/Cards/E53/E53-004/N
,E53-005 N,とんでもねえのを、拾っちまったぜ。,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-005.png,https://zxcard.yimieji.com/Cards/E53/E53-005/N
,E53-006 N,“掃除屋” ソーヤー,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-006.png,https://zxcard.yimieji.com/Cards/E53/E53-006/N
,E53-007 N,フリーランサー シェンホア,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-007.png,https://zxcard.yimieji.com/Cards/E53/E53-007/N
,E53-008 N,フリーランサー ロットン,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-008.png,https://zxcard.yimieji.com/Cards/E53/E53-008/N
,E53-009 N,ソーフィヤ・イリーノスカヤ・パブロヴナ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-009.png,https://zxcard.yimieji.com/Cards/E53/E53-009/N
,E53-010 N,ラブレス家のメイド ロベルタ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-010.png,https://zxcard.yimieji.com/Cards/E53/E53-010/N
,E53-011 N,鷲峰組組長 鷲峰雪緒,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-011.png,https://zxcard.yimieji.com/Cards/E53/E53-011/N
,E53-012 N,営業時間外 エダ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-012.png,https://zxcard.yimieji.com/Cards/E53/E53-012/N
,E53-013 N,やりてえように 馮亦菲＆レヴィ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-013.png,https://zxcard.yimieji.com/Cards/E53/E53-013/N
,E53-014 N,“五本指” ルマジュール,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-014.png,https://zxcard.yimieji.com/Cards/E53/E53-014/N
,E53-015 N,そらを仰いで ヘンゼル,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-015.png,https://zxcard.yimieji.com/Cards/E53/E53-015/N
,E53-016 N,そらを仰いで グレーテル,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-016.png,https://zxcard.yimieji.com/Cards/E53/E53-016/N
,E53-017 N,鷲峰組若頭代行 松崎 銀次,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-017.png,https://zxcard.yimieji.com/Cards/E53/E53-017/N
,E53-018 N,犬猿の仲 レヴィ＆ロベルタ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-018.png,https://zxcard.yimieji.com/Cards/E53/E53-018/N
,E53-019 N,“三合会” 張維新,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-019.png,https://zxcard.yimieji.com/Cards/E53/E53-019/N
,E53-020 N,もう一つの顔 エダ,,,,,,,,,http://zximg-cdn.yimieji.com/card/E53/E53-020.png,https://zxcard.yimieji.com/Cards/E53/E53-020/N
,G41-009 R,伍征龍 フェイ,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-009.png,https://zxcard.yimieji.com/Cards/G41/G41-009/R
,G41-010 R,伍征龍 ヴェストファール,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-010.png,https://zxcard.yimieji.com/Cards/G41/G41-010/R
,G41-011 R,伍征龍 パーライン,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-011.png,https://zxcard.yimieji.com/Cards/G41/G41-011/R
,G41-012 R,伍征龍 ヴォレフ,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-012.png,https://zxcard.yimieji.com/Cards/G41/G41-012/R
,G41-013 R,流転に抗う者∀ヴィヴァーチェ,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-013.png,https://zxcard.yimieji.com/Cards/G41/G41-013/R
,G41-014 R,星を征く者∀アヴァンツァータ,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-014.png,https://zxcard.yimieji.com/Cards/G41/G41-014/R
,G41-015 R,伍征龍 スイフト,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-015.png,https://zxcard.yimieji.com/Cards/G41/G41-015/R
,G41-016 N,UiDOL ラストエンヴィー,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-016.png,https://zxcard.yimieji.com/Cards/G41/G41-016/N
,G41-017 N,The 10th Anniversary ♫,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-017.png,https://zxcard.yimieji.com/Cards/G41/G41-017/N
,G41-018 N,ゆたかの夢の鍵【星】,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-018.png,https://zxcard.yimieji.com/Cards/G41/G41-018/N
,G41-019 N,祝え！ ヴィヴァーチェ,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-019.png,https://zxcard.yimieji.com/Cards/G41/G41-019/N
,G41-020 N,真炎竜醒 アストヴェリア,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-020.png,https://zxcard.yimieji.com/Cards/G41/G41-020/N
,G41-021 N,植え付ける幻惑 エイホート,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-021.png,https://zxcard.yimieji.com/Cards/G41/G41-021/N
,G41-022 N,果てなき宙へ ニグたん＆テオゴにゃん,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-022.png,https://zxcard.yimieji.com/Cards/G41/G41-022/N
,G41-023 N,『厄災』の蛇竜 ヤトノカミ,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-023.png,https://zxcard.yimieji.com/Cards/G41/G41-023/N
,G41-024 N,サマーエンペラー ヴィヴァーチェ,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-024.png,https://zxcard.yimieji.com/Cards/G41/G41-024/N
,G41-025 N,てぃありん☆さんだー,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-025.png,https://zxcard.yimieji.com/Cards/G41/G41-025/N
,G41-026 N,恩愛の『黎明』エンキ,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-026.png,https://zxcard.yimieji.com/Cards/G41/G41-026/N
,G41-027 N,ぴかぴかの新入生テオゴニアス,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-027.png,https://zxcard.yimieji.com/Cards/G41/G41-027/N
,G41-028 N,星界統帥”伍” ヴィヴァーチェ,,,,,,,,,http://zximg-cdn.yimieji.com/card/G41/G41-028.png,https://zxcard.yimieji.com/Cards/G41/G41-028/N
